city,state,dma_name,dma_code
HOUSTON,TX,HOUSTON,618
LOS ANGELES,CA,LOS ANGELES,803
DALLAS,TX,DALLAS - FT. WORTH,623
NEW YORK,NY,NEW YORK,501
SAN ANTONIO,TX,SAN ANTONIO,641
PHOENIX,AZ,PHOENIX (PRESCOTT),753
MIAMI,FL,MIAMI - FT. LAUDERDALE,528
ATLANTA,GA,ATLANTA,524
LAS VEGAS,NV,LAS VEGAS,839
OKLAHOMA CITY,OK,OKLAHOMA CITY,650
SAN DIEGO,CA,SAN DIEGO,825
CHICAGO,IL,CHICAGO,602
AUSTIN,TX,AUSTIN,635
SAINT LOUIS,MO,ST. LOUIS,609
MINNEAPOLIS,MN,MINNEAPOLIS - ST. PAUL,613
KANSAS CITY,MO,KANSAS CITY,616
PHILADELPHIA,PA,PHILADELPHIA,504
PORTLAND,OR,"PORTLAND, OR",820
LOUISVILLE,KY,LOUISVILLE,529
CINCINNATI,OH,CINCINNATI,515
EL PASO,TX,EL PASO (LAS CRUCES),765
ORLANDO,FL,ORLANDO - DAYTONA BCH - MELBRN,534
SAN JOSE,CA,SAN FRANCISCO - OAK - SAN JOSE,807
FRESNO,CA,FRESNO - VISALIA,866
CHARLOTTE,NC,CHARLOTTE,517
INDIANAPOLIS,IN,INDIANAPOLIS,527
TUCSON,AZ,TUCSON (SIERRA VISTA),789
NEW ORLEANS,LA,NEW ORLEANS,622
MEMPHIS,TN,MEMPHIS,640
TAMPA,FL,TAMPA - ST. PETE (SARASOTA),539
PITTSBURGH,PA,PITTSBURGH,508
TULSA,OK,TULSA,671
JACKSONVILLE,FL,JACKSONVILLE,561
COLORADO SPRINGS,CO,COLORADO SPRINGS - PUEBLO,752
FORT WAYNE,IN,FT. WAYNE,509
DENVER,CO,DENVER,751
SEATTLE,WA,SEATTLE - TACOMA,819
SAN FRANCISCO,CA,SAN FRANCISCO - OAK - SAN JOSE,807
BROOKLYN,NY,NEW YORK,501
SACRAMENTO,CA,SACRAMNTO - STKTN - MODESTO,862
OMAHA,NE,OMAHA,652
CHARLESTON,WV,CHARLESTON - HUNTINGTON,564
FORT WORTH,TX,DALLAS - FT. WORTH,623
ALBUQUERQUE,NM,ALBUQUERQUE - SANTA FE,790
HUNTINGTON,WV,CHARLESTON - HUNTINGTON,564
ROANOKE,VA,ROANOKE - LYNCHBURG,573
WASHINGTON,DC,"WASHINGTON, DC (HAGRSTWN)",511
SALT LAKE CITY,UT,SALT LAKE CITY,770
COLUMBUS,OH,"COLUMBUS, OH",535
LEXINGTON,KY,LEXINGTON,541
DETROIT,MI,DETROIT,505
MILWAUKEE,WI,MILWAUKEE,617
BATON ROUGE,LA,BATON ROUGE,716
DAYTON,OH,DAYTON,542
BIRMINGHAM,AL,BIRMINGHAM (ANN & TUSC),630
RALEIGH,NC,RALEIGH - DURHAM (FAYETVLLE),560
HONOLULU,HI,HONOLULU,744
WICHITA,KS,WICHITA - HUTCHINSON PLUS,678
BUFFALO,NY,BUFFALO,514
CLEVELAND,OH,CLEVELAND - AKRON (CANTON),510
LINCOLN,NE,LINCOLN & HSTNGS - KRNY,722
MOBILE,AL,MOBILE - PENSACOLA (FT WALT),686
SHREVEPORT,LA,SHREVEPORT,612
EVANSVILLE,IN,EVANSVILLE,649
SAINT PAUL,MN,MINNEAPOLIS - ST. PAUL,613
KNOXVILLE,TN,KNOXVILLE,557
NASHVILLE,TN,NASHVILLE,659
CORPUS CHRISTI,TX,CORPUS CHRISTI,600
ROCHESTER,NY,"ROCHESTER, NY",538
BRONX,NY,NEW YORK,501
TACOMA,WA,SEATTLE - TACOMA,819
SYRACUSE,NY,SYRACUSE,555
BALTIMORE,MD,BALTIMORE,512
LITTLE ROCK,AR,LITTLE ROCK - PINE BLUFF,693
DES MOINES,IA,DES MOINES - AMES,679
SAINT PETERSBURG,FL,TAMPA - ST. PETE (SARASOTA),539
BAKERSFIELD,CA,BAKERSFIELD,800
JACKSON,MS,"JACKSON, MS",718
LUBBOCK,TX,LUBBOCK,651
